run_id^|^client_id^|^mt_id^|^tariff_rate^|^tariff_rate_sim_only^|^soc_rate^|^estimated_usage^|^revenue_loss_other_netw^|^used_cf^|^data_volume
47^|^49^|^97^|^33.605^|^33.605^|^33.605^|^3.7^|^33.605^|^1^|^87
48^|^50^|^98^|^33.605^|^33.605^|^33.605^|^3.7^|^33.605^|^1^|^88
49^|^51^|^99^|^33.605^|^33.605^|^33.605^|^3.7^|^33.605^|^1^|^89
50^|^52^|^100^|^33.605^|^33.605^|^33.605^|^3.7^|^33.605^|^1^|^90
51^|^53^|^101^|^33.605^|^33.605^|^33.605^|^3.7^|^33.605^|^1^|^91
52^|^54^|^102^|^33.605^|^33.605^|^33.605^|^3.7^|^33.605^|^1^|^92
53^|^55^|^103^|^33.605^|^33.605^|^33.605^|^3.7^|^33.605^|^1^|^93
54^|^56^|^104^|^33.605^|^33.605^|^33.605^|^3.7^|^33.605^|^1^|^94
55^|^57^|^105^|^33.605^|^33.605^|^33.605^|^3.7^|^33.605^|^1^|^95
56^|^58^|^106^|^33.605^|^33.605^|^33.605^|^3.7^|^33.605^|^1^|^96
57^|^59^|^107^|^33.605^|^33.605^|^33.605^|^3.7^|^33.605^|^1^|^97
58^|^60^|^108^|^33.605^|^33.605^|^33.605^|^3.7^|^33.605^|^1^|^98
59^|^61^|^109^|^33.605^|^33.605^|^33.605^|^3.7^|^33.605^|^1^|^99
60^|^62^|^110^|^33.605^|^33.605^|^33.605^|^3.7^|^33.605^|^1^|^100
61^|^63^|^111^|^33.605^|^33.605^|^33.605^|^3.7^|^33.605^|^1^|^101
62^|^64^|^112^|^33.605^|^33.605^|^33.605^|^3.7^|^33.605^|^1^|^102
63^|^65^|^113^|^33.605^|^33.605^|^33.605^|^3.7^|^33.605^|^1^|^103
64^|^66^|^114^|^33.605^|^33.605^|^33.605^|^3.7^|^33.605^|^1^|^104
65^|^67^|^115^|^33.605^|^33.605^|^33.605^|^3.7^|^33.605^|^1^|^105
66^|^68^|^116^|^33.605^|^33.605^|^33.605^|^3.7^|^33.605^|^1^|^106
67^|^69^|^117^|^33.605^|^33.605^|^33.605^|^3.7^|^33.605^|^1^|^107
68^|^70^|^118^|^33.605^|^33.605^|^33.605^|^3.7^|^33.605^|^1^|^108
69^|^71^|^119^|^33.605^|^33.605^|^33.605^|^3.7^|^33.605^|^1^|^109
70^|^72^|^120^|^33.605^|^33.605^|^33.605^|^3.7^|^33.605^|^1^|^110
71^|^73^|^121^|^33.605^|^33.605^|^33.605^|^3.7^|^33.605^|^1^|^111
72^|^74^|^122^|^33.605^|^33.605^|^33.605^|^3.7^|^33.605^|^1^|^112
73^|^75^|^123^|^33.605^|^33.605^|^33.605^|^3.7^|^33.605^|^1^|^113
74^|^76^|^124^|^33.605^|^33.605^|^33.605^|^3.7^|^33.605^|^1^|^114
75^|^77^|^125^|^33.605^|^33.605^|^33.605^|^3.7^|^33.605^|^1^|^115
76^|^78^|^126^|^33.605^|^33.605^|^33.605^|^3.7^|^33.605^|^1^|^116
77^|^79^|^127^|^33.605^|^33.605^|^33.605^|^3.7^|^33.605^|^1^|^117
78^|^80^|^128^|^33.605^|^33.605^|^33.605^|^3.7^|^33.605^|^1^|^118
79^|^81^|^129^|^33.605^|^33.605^|^33.605^|^3.7^|^33.605^|^1^|^119
80^|^82^|^130^|^33.605^|^33.605^|^33.605^|^3.7^|^33.605^|^1^|^120
81^|^83^|^131^|^33.605^|^33.605^|^33.605^|^3.7^|^33.605^|^1^|^121
82^|^84^|^132^|^33.605^|^33.605^|^33.605^|^3.7^|^33.605^|^1^|^122
83^|^85^|^133^|^33.605^|^33.605^|^33.605^|^3.7^|^33.605^|^1^|^123
84^|^86^|^134^|^33.605^|^33.605^|^33.605^|^3.7^|^33.605^|^1^|^124
85^|^87^|^135^|^33.605^|^33.605^|^33.605^|^3.7^|^33.605^|^1^|^125
86^|^88^|^136^|^33.605^|^33.605^|^33.605^|^3.7^|^33.605^|^1^|^126
87^|^89^|^137^|^33.605^|^33.605^|^33.605^|^3.7^|^33.605^|^1^|^127
88^|^90^|^138^|^33.605^|^33.605^|^33.605^|^3.7^|^33.605^|^1^|^128
89^|^91^|^139^|^33.605^|^33.605^|^33.605^|^3.7^|^33.605^|^1^|^129
90^|^92^|^140^|^33.605^|^33.605^|^33.605^|^3.7^|^33.605^|^1^|^130
91^|^93^|^141^|^33.605^|^33.605^|^33.605^|^3.7^|^33.605^|^1^|^131
92^|^94^|^142^|^33.605^|^33.605^|^33.605^|^3.7^|^33.605^|^1^|^132
93^|^95^|^143^|^33.605^|^33.605^|^33.605^|^3.7^|^33.605^|^1^|^133
94^|^96^|^144^|^33.605^|^33.605^|^33.605^|^3.7^|^33.605^|^1^|^134
95^|^97^|^145^|^33.605^|^33.605^|^33.605^|^3.7^|^33.605^|^1^|^135
