name^|^value^|^source_system^|^scoring_id^|^customer_id^|^scoring_grp^|^subscr_id^|^household_id
churn_score^|^47^|^BDP^|^17^|^46189091^|^17^|^32837416^|^47
churn_score^|^48^|^BDP^|^18^|^46189092^|^18^|^32837417^|^48
churn_score^|^49^|^BDP^|^19^|^46189093^|^19^|^32837418^|^49
churn_score^|^50^|^BDP^|^20^|^46189094^|^20^|^32837419^|^50
churn_score^|^51^|^BDP^|^21^|^46189095^|^21^|^32837420^|^51
churn_score^|^52^|^BDP^|^22^|^46189096^|^22^|^32837421^|^52
churn_score^|^53^|^BDP^|^23^|^46189097^|^23^|^32837422^|^53
churn_score^|^54^|^BDP^|^24^|^46189098^|^24^|^32837423^|^54
churn_score^|^55^|^BDP^|^25^|^46189099^|^25^|^32837424^|^55
churn_score^|^56^|^BDP^|^26^|^46189100^|^26^|^32837425^|^56
churn_score^|^57^|^BDP^|^27^|^46189101^|^27^|^32837426^|^57
churn_score^|^58^|^BDP^|^28^|^46189102^|^28^|^32837427^|^58
churn_score^|^59^|^BDP^|^29^|^46189103^|^29^|^32837428^|^59
churn_score^|^60^|^BDP^|^30^|^46189104^|^30^|^32837429^|^60
churn_score^|^61^|^BDP^|^31^|^46189105^|^31^|^32837430^|^61
churn_score^|^62^|^BDP^|^32^|^46189106^|^32^|^32837431^|^62
churn_score^|^63^|^BDP^|^33^|^46189107^|^33^|^32837432^|^63
churn_score^|^64^|^BDP^|^34^|^46189108^|^34^|^32837433^|^64
churn_score^|^65^|^BDP^|^35^|^46189109^|^35^|^32837434^|^65
churn_score^|^66^|^BDP^|^36^|^46189110^|^36^|^32837435^|^66
churn_score^|^67^|^BDP^|^37^|^46189111^|^37^|^32837436^|^67
churn_score^|^68^|^BDP^|^38^|^46189112^|^38^|^32837437^|^68
churn_score^|^69^|^BDP^|^39^|^46189113^|^39^|^32837438^|^69
churn_score^|^70^|^BDP^|^40^|^46189114^|^40^|^32837439^|^70
churn_score^|^71^|^BDP^|^41^|^46189115^|^41^|^32837440^|^71
churn_score^|^72^|^BDP^|^42^|^46189116^|^42^|^32837441^|^72
churn_score^|^73^|^BDP^|^43^|^46189117^|^43^|^32837442^|^73
churn_score^|^74^|^BDP^|^44^|^46189118^|^44^|^32837443^|^74
churn_score^|^75^|^BDP^|^45^|^46189119^|^45^|^32837444^|^75
churn_score^|^76^|^BDP^|^46^|^46189120^|^46^|^32837445^|^76
churn_score^|^77^|^BDP^|^47^|^46189121^|^47^|^32837446^|^77
churn_score^|^78^|^BDP^|^48^|^46189122^|^48^|^32837447^|^78
churn_score^|^79^|^BDP^|^49^|^46189123^|^49^|^32837448^|^79
churn_score^|^80^|^BDP^|^50^|^46189124^|^50^|^32837449^|^80
churn_score^|^81^|^BDP^|^51^|^46189125^|^51^|^32837450^|^81
churn_score^|^82^|^BDP^|^52^|^46189126^|^52^|^32837451^|^82
churn_score^|^83^|^BDP^|^53^|^46189127^|^53^|^32837452^|^83
churn_score^|^84^|^BDP^|^54^|^46189128^|^54^|^32837453^|^84
churn_score^|^85^|^BDP^|^55^|^46189129^|^55^|^32837454^|^85
churn_score^|^86^|^BDP^|^56^|^46189130^|^56^|^32837455^|^86
churn_score^|^87^|^BDP^|^57^|^46189131^|^57^|^32837456^|^87
churn_score^|^88^|^BDP^|^58^|^46189132^|^58^|^32837457^|^88
churn_score^|^89^|^BDP^|^59^|^46189133^|^59^|^32837458^|^89
churn_score^|^90^|^BDP^|^60^|^46189134^|^60^|^32837459^|^90
churn_score^|^91^|^BDP^|^61^|^46189135^|^61^|^32837460^|^91
churn_score^|^92^|^BDP^|^62^|^46189136^|^62^|^32837461^|^92
churn_score^|^93^|^BDP^|^63^|^46189137^|^63^|^32837462^|^93
churn_score^|^94^|^BDP^|^64^|^46189138^|^64^|^32837463^|^94
churn_score^|^95^|^BDP^|^65^|^46189139^|^65^|^32837464^|^95
churn_score^|^96^|^BDP^|^66^|^46189140^|^66^|^32837465^|^96
churn_score^|^97^|^BDP^|^67^|^46189141^|^67^|^32837466^|^97
churn_score^|^98^|^BDP^|^68^|^46189142^|^68^|^32837467^|^98
churn_score^|^99^|^BDP^|^69^|^46189143^|^69^|^32837468^|^99
churn_score^|^100^|^BDP^|^70^|^46189144^|^70^|^32837469^|^100
churn_score^|^101^|^BDP^|^71^|^46189145^|^71^|^32837470^|^101
churn_score^|^102^|^BDP^|^72^|^46189146^|^72^|^32837471^|^102
churn_score^|^103^|^BDP^|^73^|^46189147^|^73^|^32837472^|^103
churn_score^|^104^|^BDP^|^74^|^46189148^|^74^|^32837473^|^104
churn_score^|^105^|^BDP^|^75^|^46189149^|^75^|^32837474^|^105
churn_score^|^106^|^BDP^|^76^|^46189150^|^76^|^32837475^|^106
churn_score^|^107^|^BDP^|^77^|^46189151^|^77^|^32837476^|^107
churn_score^|^108^|^BDP^|^78^|^46189152^|^78^|^32837477^|^108
churn_score^|^109^|^BDP^|^79^|^46189153^|^79^|^32837478^|^109
churn_score^|^110^|^BDP^|^80^|^46189154^|^80^|^32837479^|^110
churn_score^|^111^|^BDP^|^81^|^46189155^|^81^|^32837480^|^111
churn_score^|^112^|^BDP^|^82^|^46189156^|^82^|^32837481^|^112
churn_score^|^113^|^BDP^|^83^|^46189157^|^83^|^32837482^|^113
churn_score^|^114^|^BDP^|^84^|^46189158^|^84^|^32837483^|^114
churn_score^|^115^|^BDP^|^85^|^46189159^|^85^|^32837484^|^115
churn_score^|^116^|^BDP^|^86^|^46189160^|^86^|^32837485^|^116
churn_score^|^117^|^BDP^|^87^|^46189161^|^87^|^32837486^|^117
