name^|^mt_id^|^offer_id^|^contactlist_id^|^campcode^|^cellcode^|^target_id^|^target_start^|^target_end^|^extract_date
Dataupsell^|^47^|^11^|^2345^|^MCC_3332^|^03_TMU_S_RXL_CO^|^22^|^20170707^|^20170102^|^20161217
Dataupsell^|^48^|^12^|^2345^|^MCC_3332^|^03_TMU_S_RXL_CO^|^23^|^20170114^|^20170917^|^20171003
Dataupsell^|^49^|^13^|^2345^|^MCC_3332^|^03_TMU_S_RXL_CO^|^24^|^20171005^|^20161220^|^20161220
Dataupsell^|^50^|^14^|^2345^|^MCC_3332^|^03_TMU_S_RXL_CO^|^25^|^20170605^|^20161209^|^20171001
Dataupsell^|^51^|^15^|^2345^|^MCC_3332^|^03_TMU_S_RXL_CO^|^26^|^20171014^|^20170514^|^20170512
Dataupsell^|^52^|^16^|^2345^|^MCC_3332^|^03_TMU_S_RXL_CO^|^27^|^20170131^|^20161215^|^20161130
Dataupsell^|^53^|^17^|^2345^|^MCC_3332^|^03_TMU_S_RXL_CO^|^28^|^20170415^|^20170902^|^20161230
Dataupsell^|^54^|^18^|^2345^|^MCC_3332^|^03_TMU_S_RXL_CO^|^29^|^20171016^|^20170726^|^20171027
Dataupsell^|^55^|^19^|^2345^|^MCC_3332^|^03_TMU_S_RXL_CO^|^30^|^20170821^|^20170316^|^20161127
Dataupsell^|^56^|^20^|^2345^|^MCC_3332^|^03_TMU_S_RXL_CO^|^31^|^20170605^|^20170222^|^20171117
Dataupsell^|^57^|^21^|^2345^|^MCC_3332^|^03_TMU_S_RXL_CO^|^32^|^20170621^|^20170820^|^20170308
Dataupsell^|^58^|^22^|^2345^|^MCC_3332^|^03_TMU_S_RXL_CO^|^33^|^20170124^|^20170227^|^20170313
Dataupsell^|^59^|^23^|^2345^|^MCC_3332^|^03_TMU_S_RXL_CO^|^34^|^20170415^|^20171004^|^20170409
Dataupsell^|^60^|^24^|^2345^|^MCC_3332^|^03_TMU_S_RXL_CO^|^35^|^20170415^|^20171118^|^20170604
Dataupsell^|^61^|^25^|^2345^|^MCC_3332^|^03_TMU_S_RXL_CO^|^36^|^20170602^|^20170625^|^20170629
Dataupsell^|^62^|^26^|^2345^|^MCC_3332^|^03_TMU_S_RXL_CO^|^37^|^20170319^|^20161204^|^20170219
Dataupsell^|^63^|^27^|^2345^|^MCC_3332^|^03_TMU_S_RXL_CO^|^38^|^20170428^|^20170408^|^20161229
Dataupsell^|^64^|^28^|^2345^|^MCC_3332^|^03_TMU_S_RXL_CO^|^39^|^20170731^|^20161225^|^20170418
