contactlist_id^|^contact_channel^|^last_contact_date^|^last_contact_state^|^number_of_contacts_last_month^|^customer_id^|^subscr_num^|^cust_num^|^aggr_level_cd
968208^|^SMS^|^20170209^|^Ordered^|^2^|^45189091^|^GSM^|^123123123^|^customer
968209^|^SMS^|^20170108^|^Ordered^|^2^|^45189092^|^GSM^|^123123124^|^customer
968210^|^SMS^|^20170831^|^Ordered^|^1^|^45189093^|^GSM^|^123123125^|^subscriber
968211^|^SMS^|^20170405^|^Ordered^|^1^|^45189094^|^GSM^|^123123126^|^household
968212^|^SMS^|^20170618^|^Ordered^|^2^|^45189095^|^GSM^|^123123127^|^subscriber
968213^|^SMS^|^20170729^|^Ordered^|^2^|^45189096^|^GSM^|^123123128^|^household
968214^|^SMS^|^20170717^|^Ordered^|^1^|^45189097^|^GSM^|^123123129^|^subscriber
968215^|^SMS^|^20170120^|^Ordered^|^1^|^45189098^|^GSM^|^123123130^|^customer
968216^|^SMS^|^20170216^|^Ordered^|^2^|^45189099^|^GSM^|^123123131^|^subscriber
968217^|^SMS^|^20170309^|^Ordered^|^1^|^45189100^|^GSM^|^123123132^|^household
968218^|^SMS^|^20170202^|^Ordered^|^1^|^45189101^|^GSM^|^123123133^|^subscriber
968219^|^SMS^|^20170809^|^Ordered^|^2^|^45189102^|^GSM^|^123123134^|^subscriber
968220^|^SMS^|^20170217^|^Ordered^|^1^|^45189103^|^GSM^|^123123135^|^customer
968221^|^SMS^|^20170119^|^Ordered^|^1^|^45189104^|^GSM^|^123123136^|^subscriber
968222^|^SMS^|^20170611^|^Ordered^|^2^|^45189105^|^GSM^|^123123137^|^customer
968223^|^SMS^|^20170622^|^Ordered^|^2^|^45189106^|^GSM^|^123123138^|^subscriber
968224^|^SMS^|^20170210^|^Ordered^|^1^|^45189107^|^GSM^|^123123139^|^subscriber
968225^|^SMS^|^20170224^|^Ordered^|^2^|^45189108^|^GSM^|^123123140^|^household
968226^|^SMS^|^20170307^|^Ordered^|^1^|^45189109^|^GSM^|^123123141^|^subscriber
968227^|^SMS^|^20170121^|^Ordered^|^2^|^45189110^|^GSM^|^123123142^|^subscriber
968228^|^SMS^|^20170805^|^Ordered^|^2^|^45189111^|^GSM^|^123123143^|^subscriber
968229^|^SMS^|^20170518^|^Ordered^|^2^|^45189112^|^GSM^|^123123144^|^customer
968230^|^SMS^|^20170202^|^Ordered^|^2^|^45189113^|^GSM^|^123123145^|^subscriber
968231^|^SMS^|^20170520^|^Ordered^|^2^|^45189114^|^GSM^|^123123146^|^household
968232^|^SMS^|^20170206^|^Ordered^|^1^|^45189115^|^GSM^|^123123147^|^customer
968233^|^SMS^|^20170721^|^Ordered^|^2^|^45189116^|^GSM^|^123123148^|^household
968234^|^SMS^|^20170604^|^Ordered^|^1^|^45189117^|^GSM^|^123123149^|^subscriber
968235^|^SMS^|^20170629^|^Ordered^|^1^|^45189118^|^GSM^|^123123150^|^customer
968236^|^SMS^|^20170304^|^Ordered^|^1^|^45189119^|^GSM^|^123123151^|^household
968237^|^SMS^|^20170614^|^Ordered^|^1^|^45189120^|^GSM^|^123123152^|^household
968238^|^SMS^|^20170110^|^Ordered^|^1^|^45189121^|^GSM^|^123123153^|^customer
968239^|^SMS^|^20170605^|^Ordered^|^2^|^45189122^|^GSM^|^123123154^|^subscriber
968240^|^SMS^|^20170622^|^Ordered^|^2^|^45189123^|^GSM^|^123123155^|^customer
968241^|^SMS^|^20170505^|^Ordered^|^2^|^45189124^|^GSM^|^123123156^|^household
968242^|^SMS^|^20170510^|^Ordered^|^1^|^45189125^|^GSM^|^123123157^|^subscriber
968243^|^SMS^|^20170426^|^Ordered^|^1^|^45189126^|^GSM^|^123123158^|^household
968244^|^SMS^|^20170620^|^Ordered^|^2^|^45189127^|^GSM^|^123123159^|^customer
968245^|^SMS^|^20170604^|^Ordered^|^1^|^45189128^|^GSM^|^123123160^|^customer
968246^|^SMS^|^20170624^|^Ordered^|^2^|^45189129^|^GSM^|^123123161^|^customer
968247^|^SMS^|^20170129^|^Ordered^|^1^|^45189130^|^GSM^|^123123162^|^household
968248^|^SMS^|^20170121^|^Ordered^|^2^|^45189131^|^GSM^|^123123163^|^household
968249^|^SMS^|^20170813^|^Ordered^|^1^|^45189132^|^GSM^|^123123164^|^customer
968250^|^SMS^|^20170723^|^Ordered^|^1^|^45189133^|^GSM^|^123123165^|^customer
968251^|^SMS^|^20170519^|^Ordered^|^1^|^45189134^|^GSM^|^123123166^|^household
968252^|^SMS^|^20170509^|^Ordered^|^1^|^45189135^|^GSM^|^123123167^|^subscriber
968253^|^SMS^|^20170709^|^Ordered^|^2^|^45189136^|^GSM^|^123123168^|^subscriber
968254^|^SMS^|^20170117^|^Ordered^|^2^|^45189137^|^GSM^|^123123169^|^household
968255^|^SMS^|^20170115^|^Ordered^|^2^|^45189138^|^GSM^|^123123170^|^customer
968256^|^SMS^|^20170812^|^Ordered^|^1^|^45189139^|^GSM^|^123123171^|^household
968257^|^SMS^|^20170121^|^Ordered^|^1^|^45189140^|^GSM^|^123123172^|^household
968258^|^SMS^|^20170429^|^Ordered^|^1^|^45189141^|^GSM^|^123123173^|^customer
968259^|^SMS^|^20170119^|^Ordered^|^2^|^45189142^|^GSM^|^123123174^|^customer
968260^|^SMS^|^20170202^|^Ordered^|^2^|^45189143^|^GSM^|^123123175^|^customer
968261^|^SMS^|^20170708^|^Ordered^|^1^|^45189144^|^GSM^|^123123176^|^customer
968262^|^SMS^|^20170317^|^Ordered^|^2^|^45189145^|^GSM^|^123123177^|^customer
968263^|^SMS^|^20170622^|^Ordered^|^1^|^45189146^|^GSM^|^123123178^|^subscriber
968264^|^SMS^|^20170712^|^Ordered^|^1^|^45189147^|^GSM^|^123123179^|^household
968265^|^SMS^|^20170311^|^Ordered^|^2^|^45189148^|^GSM^|^123123180^|^subscriber
968266^|^SMS^|^20170226^|^Ordered^|^2^|^45189149^|^GSM^|^123123181^|^customer
968267^|^SMS^|^20170320^|^Ordered^|^2^|^45189150^|^GSM^|^123123182^|^customer
968268^|^SMS^|^20170224^|^Ordered^|^1^|^45189151^|^GSM^|^123123183^|^subscriber
968269^|^SMS^|^20170114^|^Ordered^|^1^|^45189152^|^GSM^|^123123184^|^customer
968270^|^SMS^|^20170720^|^Ordered^|^2^|^45189153^|^GSM^|^123123185^|^household
968271^|^SMS^|^20170420^|^Ordered^|^1^|^45189154^|^GSM^|^123123186^|^customer
