memo_type^|^dwh_source_ind^|^market_code^|^dwh_valid_from^|^dwh_valid_until^|^dwh_current_flag^|^description^|^memo_type_category^|^memo_type_manual_ind^|^memo_type_system_text^|^memo_type_number_of_parameters^|^memo_type_coll_history_ind^|^memo_tip_cm_ind^|^memo_tip_act_hist_ind^|^team_db^|^location_db^|^memo_type_flex_vars_ind
28^|^3^|^M1^|^20210704^|^20210108^|^0^|^hdgda^|^TMK^|^Y^|^GTYG^|^0^|^^|^^|^^|^^|^^|^
29^|^3^|^M2^|^20190801^|^20191004^|^0^|^hdgda^|^TMK^|^Y^|^GTYG^|^0^|^^|^^|^^|^^|^^|^
30^|^3^|^M3^|^20221226^|^20180801^|^0^|^hdgda^|^TMK^|^Y^|^GTYG^|^0^|^^|^^|^^|^^|^^|^
31^|^3^|^M4^|^20190324^|^20180130^|^0^|^hdgda^|^TMK^|^Y^|^GTYG^|^0^|^^|^^|^^|^^|^^|^
32^|^3^|^M5^|^20190412^|^20200716^|^0^|^hdgda^|^TMK^|^Y^|^GTYG^|^0^|^^|^^|^^|^^|^^|^
33^|^3^|^M6^|^20210705^|^20190410^|^0^|^hdgda^|^TMK^|^Y^|^GTYG^|^0^|^^|^^|^^|^^|^^|^
34^|^3^|^M7^|^20181216^|^20201005^|^0^|^hdgda^|^TMK^|^Y^|^GTYG^|^0^|^^|^^|^^|^^|^^|^
35^|^3^|^M8^|^20190421^|^20190110^|^0^|^hdgda^|^TMK^|^Y^|^GTYG^|^0^|^^|^^|^^|^^|^^|^
36^|^3^|^M9^|^20210524^|^20190620^|^0^|^hdgda^|^TMK^|^Y^|^GTYG^|^0^|^^|^^|^^|^^|^^|^
37^|^3^|^M10^|^20180923^|^20191002^|^0^|^hdgda^|^TMK^|^Y^|^GTYG^|^0^|^^|^^|^^|^^|^^|^
38^|^3^|^M11^|^20210427^|^20201210^|^0^|^hdgda^|^TMK^|^Y^|^GTYG^|^0^|^^|^^|^^|^^|^^|^
39^|^3^|^M12^|^20190104^|^20180704^|^0^|^hdgda^|^TMK^|^Y^|^GTYG^|^0^|^^|^^|^^|^^|^^|^
40^|^3^|^M13^|^20211025^|^20211128^|^0^|^hdgda^|^TMK^|^Y^|^GTYG^|^0^|^^|^^|^^|^^|^^|^
41^|^3^|^M14^|^20220809^|^20210113^|^0^|^hdgda^|^TMK^|^Y^|^GTYG^|^0^|^^|^^|^^|^^|^^|^
42^|^3^|^M15^|^20181204^|^20220215^|^0^|^hdgda^|^TMK^|^Y^|^GTYG^|^0^|^^|^^|^^|^^|^^|^
43^|^3^|^M16^|^20220611^|^20221010^|^0^|^hdgda^|^TMK^|^Y^|^GTYG^|^0^|^^|^^|^^|^^|^^|^
44^|^3^|^M17^|^20190830^|^20190109^|^0^|^hdgda^|^TMK^|^Y^|^GTYG^|^0^|^^|^^|^^|^^|^^|^
45^|^3^|^M18^|^20210428^|^20200924^|^0^|^hdgda^|^TMK^|^Y^|^GTYG^|^0^|^^|^^|^^|^^|^^|^
46^|^3^|^M19^|^20201231^|^20180308^|^0^|^hdgda^|^TMK^|^Y^|^GTYG^|^0^|^^|^^|^^|^^|^^|^
47^|^3^|^M20^|^20201014^|^20220924^|^0^|^hdgda^|^TMK^|^Y^|^GTYG^|^0^|^^|^^|^^|^^|^^|^
48^|^3^|^M21^|^20200423^|^20211126^|^0^|^hdgda^|^TMK^|^Y^|^GTYG^|^0^|^^|^^|^^|^^|^^|^
49^|^3^|^M22^|^20220523^|^20181025^|^0^|^hdgda^|^TMK^|^Y^|^GTYG^|^0^|^^|^^|^^|^^|^^|^
50^|^3^|^M23^|^20220706^|^20201020^|^0^|^hdgda^|^TMK^|^Y^|^GTYG^|^0^|^^|^^|^^|^^|^^|^
51^|^3^|^M24^|^20190313^|^20221024^|^0^|^hdgda^|^TMK^|^Y^|^GTYG^|^0^|^^|^^|^^|^^|^^|^
52^|^3^|^M25^|^20210620^|^20180503^|^0^|^hdgda^|^TMK^|^Y^|^GTYG^|^0^|^^|^^|^^|^^|^^|^
53^|^3^|^M26^|^20200220^|^20190327^|^0^|^hdgda^|^TMK^|^Y^|^GTYG^|^0^|^^|^^|^^|^^|^^|^
54^|^3^|^M27^|^20180907^|^20180501^|^0^|^hdgda^|^TMK^|^Y^|^GTYG^|^0^|^^|^^|^^|^^|^^|^
55^|^3^|^M28^|^20220308^|^20220217^|^0^|^hdgda^|^TMK^|^Y^|^GTYG^|^0^|^^|^^|^^|^^|^^|^
56^|^3^|^M29^|^20180930^|^20220823^|^0^|^hdgda^|^TMK^|^Y^|^GTYG^|^0^|^^|^^|^^|^^|^^|^
