name^|^value^|^customer_id^|^subscr_id^|^household_id^|^building_id
IsEligibleForCable^|^1^|^46189091^|^47^|^47^|^47
IsEligibleForCable^|^1^|^46189092^|^48^|^48^|^48
IsEligibleForCable^|^1^|^46189093^|^49^|^49^|^49
IsEligibleForCable^|^1^|^46189094^|^50^|^50^|^50
IsEligibleForCable^|^1^|^46189095^|^51^|^51^|^51
IsEligibleForCable^|^1^|^46189096^|^52^|^52^|^52
IsEligibleForCable^|^1^|^46189097^|^53^|^53^|^53
IsEligibleForCable^|^1^|^46189098^|^54^|^54^|^54
IsEligibleForCable^|^1^|^46189099^|^55^|^55^|^55
IsEligibleForCable^|^1^|^46189100^|^56^|^56^|^56
IsEligibleForCable^|^1^|^46189101^|^57^|^57^|^57
IsEligibleForCable^|^1^|^46189102^|^58^|^58^|^58
IsEligibleForCable^|^1^|^46189103^|^59^|^59^|^59
IsEligibleForCable^|^1^|^46189104^|^60^|^60^|^60
IsEligibleForCable^|^1^|^46189105^|^61^|^61^|^61
IsEligibleForCable^|^1^|^46189106^|^62^|^62^|^62
IsEligibleForCable^|^1^|^46189107^|^63^|^63^|^63
IsEligibleForCable^|^1^|^46189108^|^64^|^64^|^64
IsEligibleForCable^|^1^|^46189109^|^65^|^65^|^65
IsEligibleForCable^|^1^|^46189110^|^66^|^66^|^66
IsEligibleForCable^|^1^|^46189111^|^67^|^67^|^67
IsEligibleForCable^|^1^|^46189112^|^68^|^68^|^68
IsEligibleForCable^|^1^|^46189113^|^69^|^69^|^69
IsEligibleForCable^|^1^|^46189114^|^70^|^70^|^70
IsEligibleForCable^|^1^|^46189115^|^71^|^71^|^71
IsEligibleForCable^|^1^|^46189116^|^72^|^72^|^72
IsEligibleForCable^|^1^|^46189117^|^73^|^73^|^73
IsEligibleForCable^|^1^|^46189118^|^74^|^74^|^74
IsEligibleForCable^|^1^|^46189119^|^75^|^75^|^75
IsEligibleForCable^|^1^|^46189120^|^76^|^76^|^76
IsEligibleForCable^|^1^|^46189121^|^77^|^77^|^77
IsEligibleForCable^|^1^|^46189122^|^78^|^78^|^78
IsEligibleForCable^|^1^|^46189123^|^79^|^79^|^79
IsEligibleForCable^|^1^|^46189124^|^80^|^80^|^80
IsEligibleForCable^|^1^|^46189125^|^81^|^81^|^81
IsEligibleForCable^|^1^|^46189126^|^82^|^82^|^82
IsEligibleForCable^|^1^|^46189127^|^83^|^83^|^83
IsEligibleForCable^|^1^|^46189128^|^84^|^84^|^84
IsEligibleForCable^|^1^|^46189129^|^85^|^85^|^85
IsEligibleForCable^|^1^|^46189130^|^86^|^86^|^86
IsEligibleForCable^|^1^|^46189131^|^87^|^87^|^87
IsEligibleForCable^|^1^|^46189132^|^88^|^88^|^88
IsEligibleForCable^|^1^|^46189133^|^89^|^89^|^89
IsEligibleForCable^|^1^|^46189134^|^90^|^90^|^90
IsEligibleForCable^|^1^|^46189135^|^91^|^91^|^91
IsEligibleForCable^|^1^|^46189136^|^92^|^92^|^92
IsEligibleForCable^|^1^|^46189137^|^93^|^93^|^93
IsEligibleForCable^|^1^|^46189138^|^94^|^94^|^94
IsEligibleForCable^|^1^|^46189139^|^95^|^95^|^95
IsEligibleForCable^|^1^|^46189140^|^96^|^96^|^96
IsEligibleForCable^|^1^|^46189141^|^97^|^97^|^97
IsEligibleForCable^|^1^|^46189142^|^98^|^98^|^98
IsEligibleForCable^|^1^|^46189143^|^99^|^99^|^99
IsEligibleForCable^|^1^|^46189144^|^100^|^100^|^100
IsEligibleForCable^|^1^|^46189145^|^101^|^101^|^101
IsEligibleForCable^|^1^|^46189146^|^102^|^102^|^102
IsEligibleForCable^|^1^|^46189147^|^103^|^103^|^103
IsEligibleForCable^|^1^|^46189148^|^104^|^104^|^104
IsEligibleForCable^|^1^|^46189149^|^105^|^105^|^105
IsEligibleForCable^|^1^|^46189150^|^106^|^106^|^106
IsEligibleForCable^|^1^|^46189151^|^107^|^107^|^107
IsEligibleForCable^|^1^|^46189152^|^108^|^108^|^108
IsEligibleForCable^|^1^|^46189153^|^109^|^109^|^109
IsEligibleForCable^|^1^|^46189154^|^110^|^110^|^110
IsEligibleForCable^|^1^|^46189155^|^111^|^111^|^111
IsEligibleForCable^|^1^|^46189156^|^112^|^112^|^112
IsEligibleForCable^|^1^|^46189157^|^113^|^113^|^113
IsEligibleForCable^|^1^|^46189158^|^114^|^114^|^114
IsEligibleForCable^|^1^|^46189159^|^115^|^115^|^115
IsEligibleForCable^|^1^|^46189160^|^116^|^116^|^116
IsEligibleForCable^|^1^|^46189161^|^117^|^117^|^117
IsEligibleForCable^|^1^|^46189162^|^118^|^118^|^118
IsEligibleForCable^|^1^|^46189163^|^119^|^119^|^119
IsEligibleForCable^|^1^|^46189164^|^120^|^120^|^120
IsEligibleForCable^|^1^|^46189165^|^121^|^121^|^121
IsEligibleForCable^|^1^|^46189166^|^122^|^122^|^122
IsEligibleForCable^|^1^|^46189167^|^123^|^123^|^123
IsEligibleForCable^|^1^|^46189168^|^124^|^124^|^124
IsEligibleForCable^|^1^|^46189169^|^125^|^125^|^125
IsEligibleForCable^|^1^|^46189170^|^126^|^126^|^126
IsEligibleForCable^|^1^|^46189171^|^127^|^127^|^127
IsEligibleForCable^|^1^|^46189172^|^128^|^128^|^128
IsEligibleForCable^|^1^|^46189173^|^129^|^129^|^129
IsEligibleForCable^|^1^|^46189174^|^130^|^130^|^130
IsEligibleForCable^|^1^|^46189175^|^131^|^131^|^131
IsEligibleForCable^|^1^|^46189176^|^132^|^132^|^132
IsEligibleForCable^|^1^|^46189177^|^133^|^133^|^133
IsEligibleForCable^|^1^|^46189178^|^134^|^134^|^134
IsEligibleForCable^|^1^|^46189179^|^135^|^135^|^135
IsEligibleForCable^|^1^|^46189180^|^136^|^136^|^136
IsEligibleForCable^|^1^|^46189181^|^137^|^137^|^137
IsEligibleForCable^|^1^|^46189182^|^138^|^138^|^138
IsEligibleForCable^|^1^|^46189183^|^139^|^139^|^139
IsEligibleForCable^|^1^|^46189184^|^140^|^140^|^140
IsEligibleForCable^|^1^|^46189185^|^141^|^141^|^141
IsEligibleForCable^|^1^|^46189186^|^142^|^142^|^142
IsEligibleForCable^|^1^|^46189187^|^143^|^143^|^143
IsEligibleForCable^|^1^|^46189188^|^144^|^144^|^144
IsEligibleForCable^|^1^|^46189189^|^145^|^145^|^145
IsEligibleForCable^|^1^|^46189190^|^146^|^146^|^146
