footprint_id^|^postal_code_num^|^city_name^|^city_suffix_name^|^district_name^|^street_name^|^house_num^|^house_num_modifier_val^|^kgs44_id^|^x_wgs84^|^y_wgs84^|^x_gk3^|^y_gk3^|^household_cnt^|^address_data_server_id^|^mktbil_cab_line_int_cd^|^mktbil_cab_line_dig_cd^|^mktbil_cab_line_anl_cd^|^mktbil_dtr_cab_line_int_cnt^|^tech_avail_cab_line_int_cd^|^tech_avail_cab_line_dig_cd^|^tech_avail_cab_line_anl_cd^|^feedback_chnl_ind^|^adsl_accs_line_bw_qty^|^adsl_bitstream_accs_bw_qty^|^vdsl_accs_line_bw_qty^|^vdsl_bitstream_accs_bw_qty^|^vdsl_vectoring_ind^|^lte_bw_qty^|^lte_indoor_outdoor_cd^|^lte_load_cnt^|^homes_passed_street_cnt^|^homes_passed_building_cnt^|^cab_line_int_apart_unit_cnt^|^cab_line_dig_apart_unit_cnt^|^cab_line_anl_apart_unit_cnt^|^dsl_apart_unit_cnt^|^lte_apart_unit_cnt^|^potential_bw_qty^|^vdsl_dtag_plan_dt^|^kabelscore_pct^|^mktbil_hybrid_fiber_coax_ind^|^vdsl_accs_line_fp_ind^|^vdsl_bitstream_accs_fp_ind^|^vdsl_vectoring_fp_ind^|^adsl_accs_line_fp_ind^|^adsl_bitstream_accs_fp_ind^|^lte_fix_fp_ind^|^potential_tech_cd^|^potential_contact_type_cd^|^branch_num^|^ip_tv_cd^|^ip_tv_potential_ind^|^g3g_cd^|^gsm_cd^|^is_deleted_ind^|^accuracy_id^|^di_gui^|^dwh_load_date
56^|^50735^|^HYT^|^0^|^NIEHL^|^AufdemHeidenberg^|^9^|^0^|^8765^|^8^|^15961372^|^3.367^|^5.703^|^47^|^47^|^0^|^0^|^0^|^47^|^0^|^0^|^16000^|^1^|^47^|^47^|^47^|^47^|^47^|^47^|^0^|^47^|^47^|^47^|^47^|^47^|^47^|^47^|^47^|^47^|^20131117^|^11.11^|^47^|^47^|^47^|^47^|^47^|^47^|^47^|^W^|^N^|^0^|^HSDP^|^4^|^N^|^6.95689^|^0^|^5^|^109.20944^|^20130407
57^|^50735^|^HYT^|^0^|^NIEHL^|^AufdemHeidenberg^|^9^|^0^|^8766^|^8^|^15961373^|^3.367^|^5.703^|^48^|^48^|^0^|^0^|^0^|^48^|^0^|^0^|^16001^|^1^|^48^|^48^|^48^|^48^|^48^|^48^|^0^|^48^|^48^|^48^|^48^|^48^|^48^|^48^|^48^|^48^|^20131111^|^11.11^|^48^|^48^|^48^|^48^|^48^|^48^|^48^|^W^|^N^|^0^|^HSDP^|^5^|^N^|^6.95689^|^1^|^5^|^109.20944^|^20130810
58^|^50735^|^HYT^|^0^|^NIEHL^|^AufdemHeidenberg^|^9^|^0^|^8767^|^8^|^15961374^|^3.367^|^5.703^|^49^|^49^|^0^|^0^|^0^|^49^|^0^|^0^|^16002^|^1^|^49^|^49^|^49^|^49^|^49^|^49^|^0^|^49^|^49^|^49^|^49^|^49^|^49^|^49^|^49^|^49^|^20130701^|^11.11^|^49^|^49^|^49^|^49^|^49^|^49^|^49^|^NW^|^N^|^0^|^HSDP^|^6^|^N^|^6.95689^|^1^|^5^|^109.20944^|^20131018
59^|^50735^|^HYT^|^0^|^NIEHL^|^AufdemHeidenberg^|^9^|^0^|^8768^|^8^|^15961375^|^3.367^|^5.703^|^50^|^50^|^0^|^0^|^0^|^50^|^0^|^0^|^16003^|^1^|^50^|^50^|^50^|^50^|^50^|^50^|^0^|^50^|^50^|^50^|^50^|^50^|^50^|^50^|^50^|^50^|^20130520^|^11.11^|^50^|^50^|^50^|^50^|^50^|^50^|^50^|^NW^|^N^|^0^|^HSDP^|^7^|^N^|^6.95689^|^0^|^5^|^109.20944^|^20131028
60^|^50735^|^HYT^|^0^|^NIEHL^|^AufdemHeidenberg^|^9^|^0^|^8769^|^8^|^15961376^|^3.367^|^5.703^|^51^|^51^|^0^|^0^|^0^|^51^|^0^|^0^|^16004^|^1^|^51^|^51^|^51^|^51^|^51^|^51^|^0^|^51^|^51^|^51^|^51^|^51^|^51^|^51^|^51^|^51^|^20130721^|^11.11^|^51^|^51^|^51^|^51^|^51^|^51^|^51^|^NW^|^N^|^0^|^HSDP^|^8^|^N^|^6.95689^|^0^|^5^|^109.20944^|^20130720
61^|^50735^|^HYT^|^0^|^NIEHL^|^AufdemHeidenberg^|^9^|^0^|^8770^|^8^|^15961377^|^3.367^|^5.703^|^52^|^52^|^0^|^0^|^0^|^52^|^0^|^0^|^16005^|^1^|^52^|^52^|^52^|^52^|^52^|^52^|^0^|^52^|^52^|^52^|^52^|^52^|^52^|^52^|^52^|^52^|^20130501^|^11.11^|^52^|^52^|^52^|^52^|^52^|^52^|^52^|^W^|^N^|^0^|^HSDP^|^9^|^N^|^6.95689^|^1^|^5^|^109.20944^|^20130903
62^|^50735^|^HYT^|^0^|^NIEHL^|^AufdemHeidenberg^|^9^|^0^|^8771^|^8^|^15961378^|^3.367^|^5.703^|^53^|^53^|^0^|^0^|^0^|^53^|^0^|^0^|^16006^|^1^|^53^|^53^|^53^|^53^|^53^|^53^|^0^|^53^|^53^|^53^|^53^|^53^|^53^|^53^|^53^|^53^|^20130327^|^11.11^|^53^|^53^|^53^|^53^|^53^|^53^|^53^|^NW^|^N^|^0^|^HSDP^|^10^|^N^|^6.95689^|^1^|^5^|^109.20944^|^20130812
63^|^50735^|^HYT^|^0^|^NIEHL^|^AufdemHeidenberg^|^9^|^0^|^8772^|^8^|^15961379^|^3.367^|^5.703^|^54^|^54^|^0^|^0^|^0^|^54^|^0^|^0^|^16007^|^1^|^54^|^54^|^54^|^54^|^54^|^54^|^0^|^54^|^54^|^54^|^54^|^54^|^54^|^54^|^54^|^54^|^20130917^|^11.11^|^54^|^54^|^54^|^54^|^54^|^54^|^54^|^NW^|^N^|^0^|^HSDP^|^11^|^N^|^6.95689^|^1^|^5^|^109.20944^|^20130813
64^|^50735^|^HYT^|^0^|^NIEHL^|^AufdemHeidenberg^|^9^|^0^|^8773^|^8^|^15961380^|^3.367^|^5.703^|^55^|^55^|^0^|^0^|^0^|^55^|^0^|^0^|^16008^|^1^|^55^|^55^|^55^|^55^|^55^|^55^|^0^|^55^|^55^|^55^|^55^|^55^|^55^|^55^|^55^|^55^|^20130910^|^11.11^|^55^|^55^|^55^|^55^|^55^|^55^|^55^|^NW^|^N^|^0^|^HSDP^|^12^|^N^|^6.95689^|^0^|^5^|^109.20944^|^20131123
65^|^50735^|^HYT^|^0^|^NIEHL^|^AufdemHeidenberg^|^9^|^0^|^8774^|^8^|^15961381^|^3.367^|^5.703^|^56^|^56^|^0^|^0^|^0^|^56^|^0^|^0^|^16009^|^1^|^56^|^56^|^56^|^56^|^56^|^56^|^0^|^56^|^56^|^56^|^56^|^56^|^56^|^56^|^56^|^56^|^20131102^|^11.11^|^56^|^56^|^56^|^56^|^56^|^56^|^56^|^NW^|^N^|^0^|^HSDP^|^13^|^N^|^6.95689^|^1^|^5^|^109.20944^|^20130107
66^|^50735^|^HYT^|^0^|^NIEHL^|^AufdemHeidenberg^|^9^|^0^|^8775^|^8^|^15961382^|^3.367^|^5.703^|^57^|^57^|^0^|^0^|^0^|^57^|^0^|^0^|^16010^|^1^|^57^|^57^|^57^|^57^|^57^|^57^|^0^|^57^|^57^|^57^|^57^|^57^|^57^|^57^|^57^|^57^|^20130705^|^11.11^|^57^|^57^|^57^|^57^|^57^|^57^|^57^|^NW^|^N^|^0^|^HSDP^|^14^|^N^|^6.95689^|^0^|^5^|^109.20944^|^20130716
