contactlist_id^|^contact_channel^|^last_contact_date^|^last_contact_state^|^number_of_contacts_last_month^|^customer_id^|^subscr_num^|^cust_num^|^aggr_level_cd
968208^|^SMS^|^20170306^|^Ordered^|^2^|^82123461^|^GSM^|^123123123^|^household
968209^|^SMS^|^20170121^|^Ordered^|^1^|^82123462^|^GSM^|^123123124^|^customer
968210^|^SMS^|^20170306^|^Ordered^|^1^|^82123463^|^GSM^|^123123125^|^subscriber
968211^|^SMS^|^20170319^|^Ordered^|^1^|^82123464^|^GSM^|^123123126^|^household
968212^|^SMS^|^20170604^|^Ordered^|^1^|^82123465^|^GSM^|^123123127^|^subscriber
968213^|^SMS^|^20170129^|^Ordered^|^1^|^82123466^|^GSM^|^123123128^|^customer
968214^|^SMS^|^20170202^|^Ordered^|^2^|^82123467^|^GSM^|^123123129^|^household
968215^|^SMS^|^20170329^|^Ordered^|^1^|^82123468^|^GSM^|^123123130^|^household
968216^|^SMS^|^20170117^|^Ordered^|^1^|^82123469^|^GSM^|^123123131^|^subscriber
968217^|^SMS^|^20170318^|^Ordered^|^1^|^82123470^|^GSM^|^123123132^|^household
968218^|^SMS^|^20170721^|^Ordered^|^2^|^82123471^|^GSM^|^123123133^|^household
968219^|^SMS^|^20170426^|^Ordered^|^1^|^82123472^|^GSM^|^123123134^|^subscriber
968220^|^SMS^|^20170410^|^Ordered^|^2^|^82123473^|^GSM^|^123123135^|^subscriber
968221^|^SMS^|^20170714^|^Ordered^|^2^|^82123474^|^GSM^|^123123136^|^subscriber
968222^|^SMS^|^20170426^|^Ordered^|^1^|^82123475^|^GSM^|^123123137^|^customer
968223^|^SMS^|^20170617^|^Ordered^|^2^|^82123476^|^GSM^|^123123138^|^household
968224^|^SMS^|^20170816^|^Ordered^|^2^|^82123477^|^GSM^|^123123139^|^customer
968225^|^SMS^|^20170220^|^Ordered^|^1^|^82123478^|^GSM^|^123123140^|^subscriber
968226^|^SMS^|^20170815^|^Ordered^|^1^|^82123479^|^GSM^|^123123141^|^customer
968227^|^SMS^|^20170820^|^Ordered^|^1^|^82123480^|^GSM^|^123123142^|^subscriber
968228^|^SMS^|^20170129^|^Ordered^|^1^|^82123481^|^GSM^|^123123143^|^household
968229^|^SMS^|^20170614^|^Ordered^|^2^|^82123482^|^GSM^|^123123144^|^subscriber
968230^|^SMS^|^20170131^|^Ordered^|^1^|^82123483^|^GSM^|^123123145^|^customer
968231^|^SMS^|^20170517^|^Ordered^|^1^|^82123484^|^GSM^|^123123146^|^customer
968232^|^SMS^|^20170815^|^Ordered^|^2^|^82123485^|^GSM^|^123123147^|^customer
968233^|^SMS^|^20170207^|^Ordered^|^1^|^82123486^|^GSM^|^123123148^|^subscriber
968234^|^SMS^|^20170210^|^Ordered^|^2^|^82123487^|^GSM^|^123123149^|^subscriber
968235^|^SMS^|^20170204^|^Ordered^|^2^|^82123488^|^GSM^|^123123150^|^household
968236^|^SMS^|^20170629^|^Ordered^|^1^|^82123489^|^GSM^|^123123151^|^customer
968237^|^SMS^|^20170603^|^Ordered^|^1^|^82123490^|^GSM^|^123123152^|^subscriber
968238^|^SMS^|^20170509^|^Ordered^|^1^|^82123491^|^GSM^|^123123153^|^customer
968239^|^SMS^|^20170803^|^Ordered^|^1^|^82123492^|^GSM^|^123123154^|^subscriber
968240^|^SMS^|^20170606^|^Ordered^|^1^|^82123493^|^GSM^|^123123155^|^subscriber
968241^|^SMS^|^20170225^|^Ordered^|^2^|^82123494^|^GSM^|^123123156^|^subscriber
968242^|^SMS^|^20170724^|^Ordered^|^1^|^82123495^|^GSM^|^123123157^|^subscriber
968243^|^SMS^|^20170329^|^Ordered^|^1^|^82123496^|^GSM^|^123123158^|^subscriber
968244^|^SMS^|^20170604^|^Ordered^|^1^|^82123497^|^GSM^|^123123159^|^household
968245^|^SMS^|^20170614^|^Ordered^|^1^|^82123498^|^GSM^|^123123160^|^household
968246^|^SMS^|^20170630^|^Ordered^|^1^|^82123499^|^GSM^|^123123161^|^customer
968247^|^SMS^|^20170801^|^Ordered^|^2^|^82123500^|^GSM^|^123123162^|^customer
968248^|^SMS^|^20170514^|^Ordered^|^1^|^82123501^|^GSM^|^123123163^|^subscriber
968249^|^SMS^|^20170806^|^Ordered^|^1^|^82123502^|^GSM^|^123123164^|^subscriber

