soc^|^market_code^|^discount^|^creation_date^|^discount_type^|^is_flat_discount^|^rate_source^|^to_id
47^|^MMC^|^-4.805^|^20130920^|^GTY^|^0^|^DWH^|^213
48^|^MMC^|^-4.705^|^20130527^|^GTY^|^0^|^DWH^|^214
49^|^MMC^|^-4.805^|^20131116^|^GTY^|^0^|^DWH^|^215
50^|^MMC^|^-4.705^|^20131127^|^GTY^|^1^|^DWH^|^216
51^|^MMC^|^-4.805^|^20130908^|^GTY^|^0^|^DWH^|^217
52^|^MMC^|^-4.805^|^20130206^|^GTY^|^1^|^DWH^|^218
53^|^MMC^|^-4.805^|^20130713^|^GTY^|^0^|^DWH^|^219
54^|^MMC^|^-4.805^|^20130724^|^GTY^|^1^|^DWH^|^220
55^|^MMC^|^-4.805^|^20130606^|^GTY^|^0^|^DWH^|^221
56^|^MMC^|^-4.805^|^20131116^|^GTY^|^1^|^DWH^|^222
57^|^MMC^|^-4.805^|^20130101^|^GTY^|^0^|^DWH^|^223
58^|^MMC^|^-4.705^|^20130503^|^GTY^|^0^|^DWH^|^224
59^|^MMC^|^-4.705^|^20130412^|^GTY^|^1^|^DWH^|^225
60^|^MMC^|^-4.805^|^20130912^|^GTY^|^0^|^DWH^|^226
61^|^MMC^|^-4.805^|^20130211^|^GTY^|^1^|^DWH^|^227
62^|^MMC^|^-4.805^|^20130104^|^GTY^|^1^|^DWH^|^228
63^|^MMC^|^-4.705^|^20130206^|^GTY^|^0^|^DWH^|^229
64^|^MMC^|^-4.805^|^20130903^|^GTY^|^1^|^DWH^|^230
65^|^MMC^|^-4.705^|^20131007^|^GTY^|^0^|^DWH^|^231
66^|^MMC^|^-4.705^|^20130617^|^GTY^|^1^|^DWH^|^232
67^|^MMC^|^-4.705^|^20130410^|^GTY^|^1^|^DWH^|^233
68^|^MMC^|^-4.705^|^20131108^|^GTY^|^0^|^DWH^|^234
69^|^MMC^|^-4.705^|^20130401^|^GTY^|^1^|^DWH^|^235
70^|^MMC^|^-4.805^|^20130612^|^GTY^|^1^|^DWH^|^236
71^|^MMC^|^-4.705^|^20131010^|^GTY^|^1^|^DWH^|^237
72^|^MMC^|^-4.805^|^20130717^|^GTY^|^1^|^DWH^|^238
73^|^MMC^|^-4.705^|^20131018^|^GTY^|^0^|^DWH^|^239
74^|^MMC^|^-4.705^|^20130103^|^GTY^|^1^|^DWH^|^240
75^|^MMC^|^-4.705^|^20130802^|^GTY^|^0^|^DWH^|^241
76^|^MMC^|^-4.805^|^20130118^|^GTY^|^1^|^DWH^|^242
77^|^MMC^|^-4.705^|^20131216^|^GTY^|^1^|^DWH^|^243
78^|^MMC^|^-4.805^|^20131130^|^GTY^|^1^|^DWH^|^244
79^|^MMC^|^-4.805^|^20131020^|^GTY^|^1^|^DWH^|^245
80^|^MMC^|^-4.705^|^20131030^|^GTY^|^0^|^DWH^|^246
81^|^MMC^|^-4.805^|^20130616^|^GTY^|^0^|^DWH^|^247
82^|^MMC^|^-4.705^|^20131124^|^GTY^|^0^|^DWH^|^248
83^|^MMC^|^-4.805^|^20130615^|^GTY^|^0^|^DWH^|^249
84^|^MMC^|^-4.805^|^20130523^|^GTY^|^1^|^DWH^|^250
85^|^MMC^|^-4.705^|^20131019^|^GTY^|^1^|^DWH^|^251
86^|^MMC^|^-4.705^|^20130104^|^GTY^|^1^|^DWH^|^252
87^|^MMC^|^-4.705^|^20130426^|^GTY^|^0^|^DWH^|^253
88^|^MMC^|^-4.705^|^20130308^|^GTY^|^0^|^DWH^|^254
89^|^MMC^|^-4.705^|^20131218^|^GTY^|^1^|^DWH^|^255
90^|^MMC^|^-4.805^|^20130109^|^GTY^|^0^|^DWH^|^256
91^|^MMC^|^-4.705^|^20130628^|^GTY^|^1^|^DWH^|^257
