prod_id^|^dwh_valid_from^|^dwh_valid_until^|^dwh_current_flag^|^technologie^|^traeger^|^produktklasse^|^produktbereich^|^produktgruppe^|^produkt^|^produktkomponenten^|^prov_rel_ind^|^description^|^dwh_in_date^|^dwh_last_user^|^dwh_status^|^map_status^|^herkunft
47^|^20180201^|^20200404^|^1^|^GPRS^|^Messaging^|^Nutzung^|^Datenumsatz^|^hyuy^|^7356^|^loik^|^z^|^0^|^20180226^|^SYSDBA^|^AC^|^AC^|^IP
48^|^20180322^|^20200201^|^1^|^GPRS^|^Messaging^|^Nutzung^|^Datenumsatz^|^hyuy^|^7356^|^loik^|^z^|^0^|^20181130^|^SYSDBA^|^AC^|^AC^|^IP
49^|^20180711^|^20200906^|^1^|^GPRS^|^Messaging^|^Nutzung^|^Datenumsatz^|^hyuy^|^7356^|^loik^|^z^|^0^|^20181123^|^SYSDBA^|^AC^|^AC^|^IP
50^|^20180616^|^20200605^|^1^|^GPRS^|^Messaging^|^Nutzung^|^Datenumsatz^|^hyuy^|^7356^|^loik^|^y^|^0^|^20180824^|^SYSDBA^|^AC^|^AC^|^IP
51^|^20180416^|^20201016^|^1^|^GPRS^|^Messaging^|^Nutzung^|^Datenumsatz^|^hyuy^|^7356^|^loik^|^z^|^0^|^20181008^|^SYSDBA^|^AC^|^AC^|^IP
52^|^20180823^|^20201115^|^1^|^GPRS^|^Messaging^|^Nutzung^|^Datenumsatz^|^hyuy^|^7356^|^loik^|^y^|^0^|^20180514^|^SYSDBA^|^AC^|^AC^|^IP
53^|^20180525^|^20200213^|^1^|^GPRS^|^Messaging^|^Nutzung^|^Datenumsatz^|^hyuy^|^7356^|^loik^|^z^|^0^|^20180330^|^SYSDBA^|^AC^|^AC^|^IP
54^|^20180619^|^20200312^|^1^|^GPRS^|^Messaging^|^Nutzung^|^Datenumsatz^|^hyuy^|^7356^|^loik^|^y^|^0^|^20180510^|^SYSDBA^|^AC^|^AC^|^IP
55^|^20180503^|^20200831^|^1^|^GPRS^|^Messaging^|^Nutzung^|^Datenumsatz^|^hyuy^|^7356^|^loik^|^z^|^0^|^20180325^|^SYSDBA^|^AC^|^AC^|^IP
56^|^20180303^|^20201214^|^1^|^GPRS^|^Messaging^|^Nutzung^|^Datenumsatz^|^hyuy^|^7356^|^loik^|^y^|^0^|^20181204^|^SYSDBA^|^AC^|^AC^|^IP
57^|^20180525^|^20200716^|^1^|^GPRS^|^Messaging^|^Nutzung^|^Datenumsatz^|^hyuy^|^7356^|^loik^|^y^|^0^|^20181202^|^SYSDBA^|^AC^|^AC^|^IP
58^|^20181230^|^20200521^|^1^|^GPRS^|^Messaging^|^Nutzung^|^Datenumsatz^|^hyuy^|^7356^|^loik^|^y^|^0^|^20181008^|^SYSDBA^|^AC^|^AC^|^IP
59^|^20180325^|^20200620^|^1^|^GPRS^|^Messaging^|^Nutzung^|^Datenumsatz^|^hyuy^|^7356^|^loik^|^z^|^0^|^20181016^|^SYSDBA^|^AC^|^AC^|^IP
60^|^20180822^|^20200419^|^1^|^GPRS^|^Messaging^|^Nutzung^|^Datenumsatz^|^hyuy^|^7356^|^loik^|^z^|^0^|^20181211^|^SYSDBA^|^AC^|^AC^|^IP
61^|^20181116^|^20200621^|^1^|^GPRS^|^Messaging^|^Nutzung^|^Datenumsatz^|^hyuy^|^7356^|^loik^|^y^|^0^|^20180807^|^SYSDBA^|^AC^|^AC^|^IP
62^|^20180424^|^20200926^|^1^|^GPRS^|^Messaging^|^Nutzung^|^Datenumsatz^|^hyuy^|^7356^|^loik^|^z^|^0^|^20180913^|^SYSDBA^|^AC^|^AC^|^IP
63^|^20180914^|^20201210^|^1^|^GPRS^|^Messaging^|^Nutzung^|^Datenumsatz^|^hyuy^|^7356^|^loik^|^y^|^0^|^20181106^|^SYSDBA^|^AC^|^AC^|^IP
64^|^20180117^|^20200507^|^1^|^GPRS^|^Messaging^|^Nutzung^|^Datenumsatz^|^hyuy^|^7356^|^loik^|^z^|^0^|^20180504^|^SYSDBA^|^AC^|^AC^|^IP
65^|^20180130^|^20200930^|^1^|^GPRS^|^Messaging^|^Nutzung^|^Datenumsatz^|^hyuy^|^7356^|^loik^|^z^|^0^|^20180415^|^SYSDBA^|^AC^|^AC^|^IP
66^|^20180929^|^20200903^|^1^|^GPRS^|^Messaging^|^Nutzung^|^Datenumsatz^|^hyuy^|^7356^|^loik^|^y^|^0^|^20180222^|^SYSDBA^|^AC^|^AC^|^IP
67^|^20180115^|^20200717^|^1^|^GPRS^|^Messaging^|^Nutzung^|^Datenumsatz^|^hyuy^|^7356^|^loik^|^y^|^0^|^20180812^|^SYSDBA^|^AC^|^AC^|^IP
68^|^20181001^|^20201120^|^1^|^GPRS^|^Messaging^|^Nutzung^|^Datenumsatz^|^hyuy^|^7356^|^loik^|^z^|^0^|^20180108^|^SYSDBA^|^AC^|^AC^|^IP
69^|^20180223^|^20201211^|^1^|^GPRS^|^Messaging^|^Nutzung^|^Datenumsatz^|^hyuy^|^7356^|^loik^|^y^|^0^|^20180225^|^SYSDBA^|^AC^|^AC^|^IP
70^|^20180818^|^20201020^|^1^|^GPRS^|^Messaging^|^Nutzung^|^Datenumsatz^|^hyuy^|^7356^|^loik^|^z^|^0^|^20181001^|^SYSDBA^|^AC^|^AC^|^IP
71^|^20180705^|^20200122^|^1^|^GPRS^|^Messaging^|^Nutzung^|^Datenumsatz^|^hyuy^|^7356^|^loik^|^z^|^0^|^20180816^|^SYSDBA^|^AC^|^AC^|^IP
72^|^20180316^|^20201221^|^1^|^GPRS^|^Messaging^|^Nutzung^|^Datenumsatz^|^hyuy^|^7356^|^loik^|^z^|^0^|^20180316^|^SYSDBA^|^AC^|^AC^|^IP
73^|^20180528^|^20200128^|^1^|^GPRS^|^Messaging^|^Nutzung^|^Datenumsatz^|^hyuy^|^7356^|^loik^|^z^|^0^|^20180221^|^SYSDBA^|^AC^|^AC^|^IP
74^|^20180128^|^20200506^|^1^|^GPRS^|^Messaging^|^Nutzung^|^Datenumsatz^|^hyuy^|^7356^|^loik^|^z^|^0^|^20180218^|^SYSDBA^|^AC^|^AC^|^IP
75^|^20180521^|^20200406^|^1^|^GPRS^|^Messaging^|^Nutzung^|^Datenumsatz^|^hyuy^|^7356^|^loik^|^z^|^0^|^20180324^|^SYSDBA^|^AC^|^AC^|^IP
76^|^20180204^|^20200728^|^1^|^GPRS^|^Messaging^|^Nutzung^|^Datenumsatz^|^hyuy^|^7356^|^loik^|^z^|^0^|^20180711^|^SYSDBA^|^AC^|^AC^|^IP
77^|^20180809^|^20200114^|^1^|^GPRS^|^Messaging^|^Nutzung^|^Datenumsatz^|^hyuy^|^7356^|^loik^|^z^|^0^|^20180930^|^SYSDBA^|^AC^|^AC^|^IP
78^|^20181001^|^20200112^|^1^|^GPRS^|^Messaging^|^Nutzung^|^Datenumsatz^|^hyuy^|^7356^|^loik^|^z^|^0^|^20180107^|^SYSDBA^|^AC^|^AC^|^IP
79^|^20180405^|^20200622^|^1^|^GPRS^|^Messaging^|^Nutzung^|^Datenumsatz^|^hyuy^|^7356^|^loik^|^y^|^0^|^20181113^|^SYSDBA^|^AC^|^AC^|^IP
80^|^20180430^|^20201007^|^1^|^GPRS^|^Messaging^|^Nutzung^|^Datenumsatz^|^hyuy^|^7356^|^loik^|^z^|^0^|^20180529^|^SYSDBA^|^AC^|^AC^|^IP
81^|^20180209^|^20200809^|^1^|^GPRS^|^Messaging^|^Nutzung^|^Datenumsatz^|^hyuy^|^7356^|^loik^|^z^|^0^|^20180412^|^SYSDBA^|^AC^|^AC^|^IP
82^|^20181121^|^20200801^|^1^|^GPRS^|^Messaging^|^Nutzung^|^Datenumsatz^|^hyuy^|^7356^|^loik^|^y^|^0^|^20180624^|^SYSDBA^|^AC^|^AC^|^IP
83^|^20181012^|^20200316^|^1^|^GPRS^|^Messaging^|^Nutzung^|^Datenumsatz^|^hyuy^|^7356^|^loik^|^z^|^0^|^20180508^|^SYSDBA^|^AC^|^AC^|^IP
84^|^20180810^|^20200822^|^1^|^GPRS^|^Messaging^|^Nutzung^|^Datenumsatz^|^hyuy^|^7356^|^loik^|^y^|^0^|^20181224^|^SYSDBA^|^AC^|^AC^|^IP
85^|^20180226^|^20200905^|^1^|^GPRS^|^Messaging^|^Nutzung^|^Datenumsatz^|^hyuy^|^7356^|^loik^|^z^|^0^|^20180224^|^SYSDBA^|^AC^|^AC^|^IP
