name^|^value^|^customer_id^|^subscr_id^|^household_id^|^building_id
IsEligibleForCable^|^1^|^89284561^|^47^|^423133^|^47
IsEligibleForCable^|^1^|^89284562^|^48^|^423134^|^48
IsEligibleForCable^|^1^|^89284563^|^49^|^423135^|^49
IsEligibleForCable^|^1^|^89284564^|^50^|^423136^|^50
IsEligibleForCable^|^1^|^89284565^|^51^|^423137^|^51
IsEligibleForCable^|^1^|^89284566^|^52^|^423138^|^52
IsEligibleForCable^|^1^|^89284567^|^53^|^423139^|^53
IsEligibleForCable^|^1^|^89284568^|^54^|^423140^|^54
IsEligibleForCable^|^1^|^89284569^|^55^|^423141^|^55
IsEligibleForCable^|^1^|^89284570^|^56^|^423142^|^56
IsEligibleForCable^|^1^|^89284571^|^57^|^423143^|^57
IsEligibleForCable^|^1^|^89284572^|^58^|^423144^|^58
IsEligibleForCable^|^1^|^89284573^|^59^|^423145^|^59
IsEligibleForCable^|^1^|^89284574^|^60^|^423146^|^60
IsEligibleForCable^|^1^|^89284575^|^61^|^423147^|^61
IsEligibleForCable^|^1^|^89284576^|^62^|^423148^|^62
IsEligibleForCable^|^1^|^89284577^|^63^|^423149^|^63
IsEligibleForCable^|^1^|^89284578^|^64^|^423150^|^64
IsEligibleForCable^|^1^|^89284579^|^65^|^423151^|^65
IsEligibleForCable^|^1^|^89284580^|^66^|^423152^|^66
IsEligibleForCable^|^1^|^89284581^|^67^|^423153^|^67
IsEligibleForCable^|^1^|^89284582^|^68^|^423154^|^68
IsEligibleForCable^|^1^|^89284583^|^69^|^423155^|^69
IsEligibleForCable^|^1^|^89284584^|^70^|^423156^|^70
IsEligibleForCable^|^1^|^89284585^|^71^|^423157^|^71
IsEligibleForCable^|^1^|^89284586^|^72^|^423158^|^72
IsEligibleForCable^|^1^|^89284587^|^73^|^423159^|^73
IsEligibleForCable^|^1^|^89284588^|^74^|^423160^|^74
IsEligibleForCable^|^1^|^89284589^|^75^|^423161^|^75
IsEligibleForCable^|^1^|^89284590^|^76^|^423162^|^76
IsEligibleForCable^|^1^|^89284591^|^77^|^423163^|^77
IsEligibleForCable^|^1^|^89284592^|^78^|^423164^|^78
IsEligibleForCable^|^1^|^89284593^|^79^|^423165^|^79
IsEligibleForCable^|^1^|^89284594^|^80^|^423166^|^80
IsEligibleForCable^|^1^|^89284595^|^81^|^423167^|^81
IsEligibleForCable^|^1^|^89284596^|^82^|^423168^|^82
IsEligibleForCable^|^1^|^89284597^|^83^|^423169^|^83
IsEligibleForCable^|^1^|^89284598^|^84^|^423170^|^84
IsEligibleForCable^|^1^|^89284599^|^85^|^423171^|^85
IsEligibleForCable^|^1^|^89284600^|^86^|^423172^|^86
IsEligibleForCable^|^1^|^89284601^|^87^|^423173^|^87
IsEligibleForCable^|^1^|^89284602^|^88^|^423174^|^88
IsEligibleForCable^|^1^|^89284603^|^89^|^423175^|^89
IsEligibleForCable^|^1^|^89284604^|^90^|^423176^|^90
IsEligibleForCable^|^1^|^89284605^|^91^|^423177^|^91
IsEligibleForCable^|^1^|^89284606^|^92^|^423178^|^92
IsEligibleForCable^|^1^|^89284607^|^93^|^423179^|^93
IsEligibleForCable^|^1^|^89284608^|^94^|^423180^|^94
IsEligibleForCable^|^1^|^89284609^|^95^|^423181^|^95
IsEligibleForCable^|^1^|^89284610^|^96^|^423182^|^96
IsEligibleForCable^|^1^|^89284611^|^97^|^423183^|^97
IsEligibleForCable^|^1^|^89284612^|^98^|^423184^|^98
IsEligibleForCable^|^1^|^89284613^|^99^|^423185^|^99
IsEligibleForCable^|^1^|^89284614^|^100^|^423186^|^100
IsEligibleForCable^|^1^|^89284615^|^101^|^423187^|^101
IsEligibleForCable^|^1^|^89284616^|^102^|^423188^|^102
IsEligibleForCable^|^1^|^89284617^|^103^|^423189^|^103
IsEligibleForCable^|^1^|^89284618^|^104^|^423190^|^104
IsEligibleForCable^|^1^|^89284619^|^105^|^423191^|^105
IsEligibleForCable^|^1^|^89284620^|^106^|^423192^|^106
IsEligibleForCable^|^1^|^89284621^|^107^|^423193^|^107
IsEligibleForCable^|^1^|^89284622^|^108^|^423194^|^108
IsEligibleForCable^|^1^|^89284623^|^109^|^423195^|^109
