name^|^mt_id^|^offer_id^|^contactlist_id^|^campcode^|^cellcode^|^target_id^|^target_start^|^target_end^|^extract_date
Dataupsell^|^47^|^47^|^2345^|^MCC_3332^|^03_TMU_S_RXL_CO^|^47^|^20171003^|^20161221^|^20170616
Dataupsell^|^48^|^48^|^2345^|^MCC_3332^|^03_TMU_S_RXL_CO^|^48^|^20161129^|^20171019^|^20161218
Dataupsell^|^49^|^49^|^2345^|^MCC_3332^|^03_TMU_S_RXL_CO^|^49^|^20170917^|^20170922^|^20170207
Dataupsell^|^50^|^50^|^2345^|^MCC_3332^|^03_TMU_S_RXL_CO^|^50^|^20170505^|^20170406^|^20170831
Dataupsell^|^51^|^51^|^2345^|^MCC_3332^|^03_TMU_S_RXL_CO^|^51^|^20170315^|^20170227^|^20161219
Dataupsell^|^52^|^52^|^2345^|^MCC_3332^|^03_TMU_S_RXL_CO^|^52^|^20170227^|^20161217^|^20170728
Dataupsell^|^53^|^53^|^2345^|^MCC_3332^|^03_TMU_S_RXL_CO^|^53^|^20170804^|^20170422^|^20161217
Dataupsell^|^54^|^54^|^2345^|^MCC_3332^|^03_TMU_S_RXL_CO^|^54^|^20170812^|^20170416^|^20170106
Dataupsell^|^55^|^55^|^2345^|^MCC_3332^|^03_TMU_S_RXL_CO^|^55^|^20170606^|^20170226^|^20170317
Dataupsell^|^56^|^56^|^2345^|^MCC_3332^|^03_TMU_S_RXL_CO^|^56^|^20170623^|^20170715^|^20170614
Dataupsell^|^57^|^57^|^2345^|^MCC_3332^|^03_TMU_S_RXL_CO^|^57^|^20170113^|^20170813^|^20170816
Dataupsell^|^58^|^58^|^2345^|^MCC_3332^|^03_TMU_S_RXL_CO^|^58^|^20170127^|^20171107^|^20170528
Dataupsell^|^59^|^59^|^2345^|^MCC_3332^|^03_TMU_S_RXL_CO^|^59^|^20170701^|^20170409^|^20161129
Dataupsell^|^60^|^60^|^2345^|^MCC_3332^|^03_TMU_S_RXL_CO^|^60^|^20170105^|^20171102^|^20170715
Dataupsell^|^61^|^61^|^2345^|^MCC_3332^|^03_TMU_S_RXL_CO^|^61^|^20170417^|^20161213^|^20171017
Dataupsell^|^62^|^62^|^2345^|^MCC_3332^|^03_TMU_S_RXL_CO^|^62^|^20170713^|^20170923^|^20170919
Dataupsell^|^63^|^63^|^2345^|^MCC_3332^|^03_TMU_S_RXL_CO^|^63^|^20170915^|^20170928^|^20170806
Dataupsell^|^64^|^64^|^2345^|^MCC_3332^|^03_TMU_S_RXL_CO^|^64^|^20170518^|^20170508^|^20170523
Dataupsell^|^65^|^65^|^2345^|^MCC_3332^|^03_TMU_S_RXL_CO^|^65^|^20170106^|^20170218^|^20170408
Dataupsell^|^66^|^66^|^2345^|^MCC_3332^|^03_TMU_S_RXL_CO^|^66^|^20170921^|^20161212^|^20170419
Dataupsell^|^67^|^67^|^2345^|^MCC_3332^|^03_TMU_S_RXL_CO^|^67^|^20170520^|^20170329^|^20170324
