contr_id^|^contr_valid_from_dt^|^contr_valid_until_dt^|^contr_subtype_cd^|^contr_ident_type_cd^|^contr_status_dt^|^contr_status_cd^|^contr_stat_rsn_cd^|^contr_sign_dt^|^contr_receive_dt^|^contr_orig_start_dt^|^contr_pl_expire_dt^|^contr_commit_per_start_dt^|^contr_next_subsidy_dt^|^contr_last_subsidy_dt^|^has_skeleton_contract^|^customer_id
47^|^20101103^|^20230819^|^CON^|^CNPCN^|^20171026^|^Activated^|^Statusreasoncode^|^20170603^|^20170817^|^20150501^|^20230703^|^20230906^|^20230407^|^20230716^|^1^|^45189091
48^|^20111012^|^20231112^|^SUB^|^CNPCN^|^20170129^|^Activated^|^Statusreasoncode^|^20170627^|^20170626^|^20150215^|^20230317^|^20230719^|^20230216^|^20230628^|^1^|^45189092
49^|^20101206^|^20230429^|^CON^|^CID^|^20170529^|^TerminatedUnkown^|^Statusreasoncode^|^20170829^|^20170505^|^20160928^|^20230824^|^20230415^|^20231101^|^20230802^|^1^|^45189093
50^|^20110414^|^20230429^|^CON^|^CID^|^20161215^|^Pending^|^Statusreasoncode^|^20170221^|^20170323^|^20150402^|^20230315^|^20230311^|^20230924^|^20230729^|^1^|^45189094
51^|^20101120^|^20230924^|^SUB^|^CID^|^20170613^|^TerminatedUnkown^|^Statusreasoncode^|^20161214^|^20170412^|^20160827^|^20230226^|^20230318^|^20230203^|^20230713^|^1^|^45189095
52^|^20100121^|^20221214^|^CON^|^CID^|^20170610^|^Activated^|^Statusreasoncode^|^20170804^|^20170312^|^20151204^|^20230727^|^20230126^|^20230725^|^20230708^|^1^|^45189096
53^|^20100220^|^20230410^|^SUB^|^SKEL^|^20171027^|^Pending^|^Statusreasoncode^|^20170619^|^20161210^|^20160729^|^20230911^|^20230927^|^20230914^|^20221220^|^1^|^45189097
54^|^20110113^|^20230525^|^SUB^|^SKEL^|^20170315^|^TerminatedUnkown^|^Statusreasoncode^|^20171001^|^20171118^|^20151207^|^20230716^|^20230705^|^20230322^|^20231004^|^1^|^45189098
55^|^20110306^|^20230914^|^CON^|^MSUB^|^20171006^|^Activated^|^Statusreasoncode^|^20170405^|^20170120^|^20160718^|^20230306^|^20221220^|^20230314^|^20230823^|^1^|^45189099
56^|^20100311^|^20221121^|^CON^|^CNPCN^|^20161227^|^Pending^|^Statusreasoncode^|^20170330^|^20170514^|^20160329^|^20230827^|^20230813^|^20230429^|^20230913^|^1^|^45189100
57^|^20100829^|^20230902^|^CON^|^CID^|^20161228^|^Pending^|^Statusreasoncode^|^20170410^|^20171004^|^20160917^|^20230621^|^20230207^|^20230115^|^20230815^|^1^|^45189101
58^|^20100611^|^20230802^|^SUB^|^MSUB^|^20161125^|^Activated^|^Statusreasoncode^|^20170716^|^20161230^|^20160328^|^20230512^|^20230112^|^20231007^|^20230307^|^1^|^45189102
59^|^20100206^|^20230308^|^CON^|^MSUB^|^20171024^|^Activated^|^Statusreasoncode^|^20170618^|^20170829^|^20151212^|^20230311^|^20230327^|^20230202^|^20230328^|^1^|^45189103
60^|^20101002^|^20230816^|^CON^|^MSUB^|^20170204^|^Pending^|^Statusreasoncode^|^20170603^|^20170613^|^20160301^|^20230215^|^20231117^|^20230719^|^20221208^|^1^|^45189104
61^|^20110517^|^20230930^|^SUB^|^CNPCN^|^20170929^|^Activated^|^Statusreasoncode^|^20170103^|^20161129^|^20160119^|^20230819^|^20230802^|^20230729^|^20230124^|^1^|^45189105
62^|^20110110^|^20230531^|^CON^|^SKEL^|^20170602^|^TerminatedUnkown^|^Statusreasoncode^|^20170917^|^20170109^|^20150417^|^20230712^|^20230510^|^20230511^|^20221209^|^1^|^45189106
63^|^20100214^|^20230828^|^SUB^|^CNPCN^|^20170114^|^Pending^|^Statusreasoncode^|^20161130^|^20170115^|^20150105^|^20230222^|^20230904^|^20230108^|^20231116^|^1^|^45189107
64^|^20111006^|^20221225^|^SUB^|^SKEL^|^20170528^|^TerminatedUnkown^|^Statusreasoncode^|^20170426^|^20170304^|^20150918^|^20230219^|^20230327^|^20230705^|^20230827^|^1^|^45189108
65^|^20111024^|^20230917^|^SUB^|^CNPCN^|^20170829^|^Pending^|^Statusreasoncode^|^20170322^|^20170316^|^20150803^|^20230726^|^20230809^|^20230620^|^20221203^|^1^|^45189109
66^|^20110506^|^20230515^|^SUB^|^MSUB^|^20161206^|^Activated^|^Statusreasoncode^|^20170821^|^20170507^|^20161005^|^20230724^|^20230523^|^20230125^|^20231102^|^1^|^45189110
67^|^20110703^|^20230120^|^SUB^|^CID^|^20170708^|^TerminatedUnkown^|^Statusreasoncode^|^20170302^|^20170331^|^20160824^|^20230625^|^20230523^|^20230516^|^20230426^|^1^|^45189111
